SubIndex,switch_cost,Conflict_pos,Ic_prime_grade,t0,mean
0,419.2685216,43.91254865,-32.0694503,0.387,1.704
1,340.4991505,10.55148602,-21.79523147,0.329,1.461
2,375.0457909,-11.01435939,50.51383553,0.412,1.354
3,336.249435,-28.72420542,150.7244917,0.375,2.221
4,465.1468887,-12.80606243,95.17148431,0.338,1.645
5,686.4096782,50.28927143,77.7632022,0.474,1.588
6,490.529572,-8.664166049,11.24397898,0.36,1.436
7,140.7851254,13.24633691,-8.078959041,0.412,1.514
8,501.0018573,-4.879403405,-26.69364143,0.388,1.407
9,464.4769264,12.90493289,61.03329212,0.308,1.482
10,231.1978352,8.274288726,75.78001742,0.357,1.66
11,947.4214339,-26.34693162,84.50706961,0.412,1.823
12,706.3320629,9.304337183,-19.30233315,0.46,1.982
13,432.9074754,-34.00518182,64.80083369,0.428,1.872
14,231.5914408,-4.514814493,33.8677942,0.341,1.404
15,354.9841032,-17.77644521,-15.96036715,0.4,1.473
16,492.6631785,-10.30230104,176.7800305,0.384,1.411
17,475.1429253,23.37612662,41.4889776,0.355,1.526
18,297.6354225,18.75307818,32.03672218,0.401,1.047
19,321.3751213,-0.297038337,38.09341146,0.346,1.39
20,684.0555318,16.7898958,44.36673811,0.341,1.704
21,979.8802057,-18.28953556,157.6307765,0.375,1.973
22,180.93247,-7.987015238,-59.85288714,0.428,1.184
23,390.0828089,-4.957692,57.2141862,0.308,1.731
24,514.6736458,22.12148134,-63.19786516,0.384,1.437
25,517.4120098,-27.75058603,82.26871981,0.383,1.853
26,515.6644202,-21.6705415,52.55062661,0.428,1.701
27,268.7857445,4.060099457,44.39191465,0.483,2.234
28,314.0817053,14.46439865,68.57853488,0.468,2.179
30,598.4808884,73.08212176,25.81489888,0.368,2.026
31,401.001709,-2.545538648,-52.02139836,0.418,1.805
32,406.8011437,9.703860595,28.8650299,0.367,1.524
33,487.4552423,-1.539696324,92.16418646,0.385,1.851
34,149.1485498,22.73609917,23.28224737,0.328,1.606
35,515.3274649,30.60369648,-14.93817548,0.334,1.654
36,568.6039654,12.33426016,32.69821787,0.412,1.762
37,239.8739123,11.71771089,-10.73976271,0.402,1.215
38,347.7394205,9.045860559,-11.35927407,0.39,1.615
39,388.5832737,0.920491495,10.65947702,0.391,1.705
40,346.0643926,32.27872345,-64.40555328,0.425,1.506
41,730.7440808,-8.030391889,72.30520133,0.37,1.471
42,226.2164474,14.58893568,-7.672662,0.356,1.585
43,375.5023897,62.10151282,0.7243,0.405,1.598
44,441.0234095,-27.58039877,89.87743571,0.394,1.626
45,763.5997236,12.516516,90.85181066,0.395,1.987
46,296.3699778,12.14836438,43.14264118,0.439,1.516
47,596.7830615,-10.11252747,-24.72300384,0.412,1.879
48,467.0472819,35.51287756,77.78099076,0.423,2.268
49,271.4489382,24.56058307,26.24176017,0.346,2.029
50,268.1465426,34.88484049,42.07136618,0.329,1.666
51,414.8184718,54.60985341,-68.05719661,0.43,2.102
52,549.9928062,49.27812464,-4.551094365,0.458,2.172
