target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,4.001047,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9809173,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7e,2,1,7,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.2428805,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9H,2,2,9,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2473762,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.4143884,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8474379,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F8,2,1,8,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8914013,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h7,2,2,7,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6735671,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3352706,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6707778,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4E,2,1,4,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.5877333,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
