,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,1.706,1.063,1.583,1.768,0.02,0.014,1361.0,568.0,1.0
a_std,0.364,2.385,0.239,0.384,0.035,0.025,1322.0,603.0,1.0
a_subj.0,1.704,0.17,1.499,1.915,0.007,0.005,1482.0,1548.0,1.0
a_subj.1,1.461,0.081,1.322,1.603,0.002,0.002,1866.0,2720.0,1.0
a_subj.2,1.354,0.347,1.159,1.51,0.032,0.023,1149.0,606.0,1.0
a_subj.3,2.221,0.189,1.958,2.476,0.009,0.007,1093.0,981.0,1.0
a_subj.4,1.645,0.147,1.478,1.795,0.009,0.007,2353.0,1972.0,1.0
a_subj.5,1.588,0.056,1.484,1.693,0.001,0.0,6732.0,10392.0,1.0
a_subj.6,1.436,0.17,1.285,1.564,0.011,0.009,1858.0,1191.0,1.0
a_subj.7,1.514,0.155,1.273,1.748,0.007,0.005,956.0,649.0,1.0
a_subj.8,1.407,0.355,1.213,1.541,0.025,0.019,1018.0,631.0,1.0
a_subj.9,1.482,0.072,1.352,1.62,0.001,0.001,2936.0,4621.0,1.0
a_subj.10,1.66,0.194,1.425,1.878,0.011,0.009,778.0,855.0,1.0
a_subj.11,1.823,0.201,1.556,2.081,0.011,0.009,835.0,673.0,1.01
a_subj.12,1.982,0.169,1.706,2.261,0.006,0.005,1050.0,1491.0,1.0
a_subj.13,1.872,0.138,1.71,2.031,0.004,0.003,3751.0,4744.0,1.0
a_subj.14,1.404,0.174,1.277,1.513,0.012,0.009,1564.0,995.0,1.0
a_subj.15,1.473,0.27,1.251,1.672,0.02,0.015,686.0,492.0,1.01
a_subj.16,1.411,0.061,1.312,1.507,0.001,0.001,6575.0,9157.0,1.0
a_subj.17,1.526,0.149,1.374,1.674,0.006,0.005,2272.0,2660.0,1.0
a_subj.18,1.047,0.287,0.939,1.11,0.024,0.017,1670.0,975.0,1.0
a_subj.19,1.39,0.199,1.2,1.555,0.012,0.009,915.0,642.0,1.0
a_subj.20,1.704,0.177,1.5,1.903,0.011,0.009,1390.0,1194.0,1.0
a_subj.21,1.973,0.135,1.769,2.18,0.004,0.003,2428.0,4395.0,1.0
a_subj.22,1.184,0.055,1.087,1.282,0.001,0.001,3346.0,6228.0,1.0
a_subj.23,1.731,0.145,1.563,1.905,0.007,0.005,2458.0,2151.0,1.0
a_subj.24,1.437,0.077,1.295,1.578,0.002,0.001,2496.0,4288.0,1.0
a_subj.25,1.853,0.309,1.587,2.05,0.02,0.015,966.0,611.0,1.0
a_subj.26,1.701,0.095,1.535,1.873,0.002,0.001,2477.0,3688.0,1.0
a_subj.27,2.234,0.268,1.93,2.512,0.012,0.009,1292.0,1380.0,1.0
a_subj.28,2.179,0.293,1.884,2.453,0.016,0.012,1097.0,1084.0,1.0
a_subj.30,2.026,0.151,1.831,2.225,0.005,0.004,2772.0,3456.0,1.0
a_subj.31,1.805,0.195,1.525,2.108,0.008,0.006,810.0,1004.0,1.0
a_subj.32,1.524,0.156,1.344,1.688,0.007,0.005,1906.0,1937.0,1.0
a_subj.33,1.851,0.11,1.649,2.049,0.002,0.002,2291.0,2742.0,1.0
a_subj.34,1.606,0.172,1.428,1.785,0.008,0.007,1752.0,1886.0,1.0
a_subj.35,1.654,0.159,1.42,1.878,0.009,0.007,796.0,446.0,1.0
a_subj.36,1.762,0.142,1.534,1.999,0.004,0.003,1352.0,1590.0,1.0
a_subj.37,1.215,0.257,1.069,1.33,0.018,0.013,1862.0,1123.0,1.0
a_subj.38,1.615,0.201,1.401,1.822,0.012,0.009,1124.0,763.0,1.01
a_subj.39,1.705,0.16,1.509,1.902,0.006,0.005,1601.0,1671.0,1.0
a_subj.40,1.506,0.258,1.283,1.703,0.015,0.012,877.0,700.0,1.01
a_subj.41,1.471,0.093,1.324,1.625,0.002,0.002,2422.0,3444.0,1.0
a_subj.42,1.585,0.195,1.31,1.846,0.011,0.008,689.0,558.0,1.01
a_subj.43,1.598,0.106,1.447,1.737,0.003,0.002,3021.0,4325.0,1.0
a_subj.44,1.626,0.201,1.437,1.801,0.009,0.007,1966.0,1788.0,1.0
a_subj.45,1.987,0.268,1.675,2.302,0.014,0.011,913.0,703.0,1.01
a_subj.46,1.516,0.284,1.295,1.694,0.016,0.011,767.0,1150.0,1.0
a_subj.47,1.879,0.211,1.681,2.061,0.009,0.007,2263.0,1840.0,1.0
a_subj.48,2.268,0.195,1.971,2.586,0.007,0.005,1513.0,1844.0,1.0
a_subj.49,2.029,0.238,1.712,2.34,0.013,0.01,848.0,680.0,1.0
a_subj.50,1.666,0.205,1.467,1.829,0.011,0.008,1657.0,1362.0,1.0
a_subj.51,2.102,0.324,1.793,2.377,0.017,0.012,896.0,563.0,1.0
a_subj.52,2.172,0.296,1.93,2.387,0.013,0.01,1561.0,1809.0,1.0
v(neg.Co),3.219,0.146,2.97,3.473,0.004,0.003,2936.0,1694.0,1.0
v(neg.Ic),3.131,0.146,2.878,3.379,0.004,0.003,2551.0,1258.0,1.0
v(pos.Co),3.193,0.151,2.933,3.441,0.005,0.004,2286.0,1168.0,1.0
v(pos.Ic),3.057,0.146,2.802,3.311,0.004,0.003,2479.0,1444.0,1.0
v_std,0.84,0.089,0.731,0.94,0.004,0.003,1075.0,607.0,1.0
v_subj(neg.Co).0,3.266,0.379,2.551,3.975,0.006,0.004,3933.0,5913.0,1.0
v_subj(neg.Co).1,4.158,0.357,3.484,4.82,0.005,0.004,5025.0,7363.0,1.0
v_subj(neg.Co).2,3.7,0.4,2.982,4.378,0.013,0.011,2307.0,1149.0,1.0
v_subj(neg.Co).3,3.564,0.331,2.947,4.178,0.007,0.005,2038.0,1882.0,1.0
v_subj(neg.Co).4,2.925,0.303,2.359,3.468,0.006,0.005,4462.0,2946.0,1.0
v_subj(neg.Co).5,1.319,0.205,0.932,1.7,0.002,0.002,9244.0,11953.0,1.0
v_subj(neg.Co).6,3.582,0.364,2.923,4.257,0.007,0.006,3994.0,2797.0,1.0
v_subj(neg.Co).7,4.883,0.442,4.081,5.703,0.009,0.007,2356.0,2638.0,1.0
v_subj(neg.Co).8,3.276,0.378,2.567,3.929,0.012,0.009,1797.0,964.0,1.0
v_subj(neg.Co).9,3.785,0.327,3.166,4.385,0.004,0.003,5386.0,8057.0,1.0
v_subj(neg.Co).10,2.862,0.347,2.229,3.5,0.007,0.005,3407.0,3961.0,1.0
v_subj(neg.Co).11,3.566,0.322,2.975,4.172,0.007,0.005,2411.0,2373.0,1.0
v_subj(neg.Co).12,2.801,0.279,2.304,3.339,0.005,0.003,3846.0,6442.0,1.0
v_subj(neg.Co).13,2.001,0.253,1.524,2.473,0.004,0.003,4880.0,7937.0,1.0
v_subj(neg.Co).14,4.0,0.381,3.323,4.649,0.011,0.009,2431.0,1401.0,1.0
v_subj(neg.Co).15,4.908,0.494,4.006,5.778,0.013,0.01,1904.0,1720.0,1.0
v_subj(neg.Co).16,1.856,0.244,1.408,2.318,0.003,0.002,9091.0,12480.0,1.0
v_subj(neg.Co).17,3.66,0.348,2.998,4.297,0.005,0.004,5233.0,6434.0,1.0
v_subj(neg.Co).18,3.513,0.431,2.77,4.217,0.015,0.013,2768.0,1335.0,1.0
v_subj(neg.Co).19,3.988,0.408,3.243,4.749,0.01,0.008,2241.0,1284.0,1.0
v_subj(neg.Co).20,2.803,0.288,2.279,3.353,0.005,0.003,4183.0,3129.0,1.0
v_subj(neg.Co).21,2.373,0.253,1.897,2.84,0.003,0.002,5875.0,8782.0,1.0
v_subj(neg.Co).22,3.132,0.369,2.432,3.815,0.005,0.003,6470.0,9163.0,1.0
v_subj(neg.Co).23,3.225,0.342,2.578,3.832,0.006,0.005,4353.0,4557.0,1.0
v_subj(neg.Co).24,3.098,0.36,2.412,3.764,0.005,0.003,5781.0,9385.0,1.0
v_subj(neg.Co).25,3.512,0.381,2.858,4.204,0.012,0.01,1766.0,953.0,1.0
v_subj(neg.Co).26,2.305,0.256,1.821,2.772,0.003,0.002,6215.0,9806.0,1.0
v_subj(neg.Co).27,2.225,0.227,1.817,2.667,0.003,0.002,4733.0,7390.0,1.0
v_subj(neg.Co).28,2.52,0.246,2.065,2.965,0.005,0.004,3354.0,2926.0,1.0
v_subj(neg.Co).30,2.046,0.238,1.597,2.475,0.004,0.003,4849.0,7157.0,1.0
v_subj(neg.Co).31,2.729,0.317,2.119,3.296,0.006,0.004,3233.0,5491.0,1.0
v_subj(neg.Co).32,2.927,0.309,2.337,3.496,0.005,0.004,4612.0,4199.0,1.0
v_subj(neg.Co).33,2.885,0.279,2.353,3.393,0.004,0.003,5547.0,8318.0,1.0
v_subj(neg.Co).34,3.815,0.388,3.11,4.499,0.008,0.007,3734.0,2943.0,1.0
v_subj(neg.Co).35,3.951,0.378,3.236,4.644,0.009,0.007,2242.0,1887.0,1.0
v_subj(neg.Co).36,3.193,0.306,2.605,3.749,0.005,0.004,3890.0,6295.0,1.0
v_subj(neg.Co).37,4.354,0.472,3.486,5.189,0.011,0.009,3119.0,1640.0,1.0
v_subj(neg.Co).38,3.705,0.344,3.072,4.34,0.006,0.005,3211.0,2409.0,1.0
v_subj(neg.Co).39,2.986,0.29,2.464,3.537,0.004,0.003,4746.0,5971.0,1.0
v_subj(neg.Co).40,3.947,0.465,3.131,4.786,0.013,0.011,1662.0,1371.0,1.0
v_subj(neg.Co).41,2.979,0.34,2.358,3.63,0.005,0.004,4706.0,8136.0,1.0
v_subj(neg.Co).42,4.623,0.434,3.836,5.427,0.009,0.007,2378.0,1697.0,1.0
v_subj(neg.Co).43,2.977,0.305,2.407,3.54,0.004,0.003,6053.0,8444.0,1.0
v_subj(neg.Co).44,3.308,0.564,2.33,4.377,0.011,0.008,3071.0,3474.0,1.0
v_subj(neg.Co).45,3.914,0.387,3.216,4.602,0.011,0.009,2025.0,1711.0,1.0
v_subj(neg.Co).46,2.937,0.345,2.31,3.562,0.009,0.007,1873.0,1996.0,1.0
