词汇,愉悦度.x,激动度.x,熟悉度.x,效价,index
悲观,-1.47136036566557,.352003618873855,.17457740869364,0,5
别扭,-1.17978031012686,.287060270958353,-.112401154887382,0,6
嘲笑,-1.54243643539896,.499188777125886,.163282646656144,0,14
处罚,-1.2553815197051,.218441257694997,-.00403825038586815,0,18
丢失,-1.03580166387553,.193299688790739,.208058661357527,0,26
堵塞,-1.0975584983276,-.0308793006055677,.735944308363311,0,27
罚款,-1.0701110163489,.712892112812084,-.0841637503778171,0,29
烦恼,-1.5615397642858,.396549597588457,1.16074010899934,0,30
孤单,-1.3180553880112,-.768679424577742,.704183303302254,0,34
黑暗,-1.41725272649344,.124584674909828,.370244611135246,0,38
胡涂,-1.17076237026483,-.227094104415987,.39372467542824,0,39
怀疑,-1.16732084835678,.0969236746577477,.540815149559388,0,40
慌忙,-1.06855905182858,.166786128428925,.59721856596751,0,42
假冒,-1.40977360583526,.589279399032813,-.161932618017062,0,45
焦躁,-1.29400754837914,.480952504626654,-.0967477786920532,0,46
禁止,-1.02093427780374,.677274890197718,.288184161349476,0,48
沮丧,-1.35112116750528,.352003618873855,-.00282752152008164,0,51
懒惰,-1.37015904054733,-.463891149162036,.730272263627802,0,58
浪费,-1.12729327047118,-.539996070916806,1.68802377885589,0,59
冷笑,-1.21878487706684,-.146111491416753,-.171359147427881,0,61
鲁莽,-1.21284608962094,.469229878649126,-.195885827929134,0,62
落后,-1.30803545483117,.269945237031165,.482427140535101,0,63
闷热,-1.14571253731477,-.201304327265428,.331111170646925,0,65
排斥,-1.01521605239151,-.0224987776374819,-.206708632718447,0,66
轻率,-1.14070257072476,-.198959802069922,-.188059139831469,0,74
穷苦,-1.22286602280096,.38482697161093,-.104574466789718,0,76
缺乏,-1.20163020083015,-.597612166322399,-.180785676838698,0,78
撒谎,-1.19934291066526,.670989497971653,1.20491414655149,0,79
伤心,-1.15130981720254,.331578317764162,1.5866885876896,0,81
失意,-1.27096170206508,.0354927174806215,.268497665865612,0,82
损害,-1.0049232466495,-.129350445480581,-.0181780445020951,0,85
逃避,-1.04952540486488,.0822577594635958,-.100660176846749,0,87
消沉,-1.43428661289948,.225399258316561,.114572799944882,0,97
心慌,-1.07926017700847,.304341618117881,.387162720163062,0,99
厌恶,-1.23479590822108,.138826289498179,.615756058375388,0,102
忧虑,-1.06096185568934,-.734843229924811,.391875984868471,0,105
郁闷,-1.36715306059332,.438751051107556,1.60164353850109,0,108
杂乱,-1.33609126773524,-.0981452186631879,-.169796867603586,0,111
争吵,-1.24165777871575,.670989497971653,.790146852475513,0,113
自卑,-1.30603146819517,.140996351278366,.471991556404882,0,116
畅销,1.09824005996806,.306436748859903,.768937161301174,1,122
诚恳,1.16388206068092,-.381832767319346,.983335178785612,1,124
充裕,.928413630950339,-.105178794249704,-.274152708905776,1,126
典雅,.990537216666492,-.0864225926856607,-.89767886068636,1,133
丰满,.901359811364273,.227743783512067,.998988554980941,1,139
奉献,1.4973721937416,-.0706867847039768,.570980043674004,1,140
富丽,.923403664360327,-.0840780674901561,-.125445635050156,1,142
富足,.951459477264396,.260567136249142,-.109792258854827,1,143
公平,1.06568671551668,-.258019508185274,1.168566797097,1,147
瑰丽,1.04464485583863,.136307300887355,-1.17422184013716,1,151
豪放,.990537216666492,.70837144859068,-.203712516026798,1,153
吉祥,1.14484418763887,.473918929040137,1.22335361378065,1,158
精致,.959475423808416,.185542329992969,.350938780494342,1,163
敬佩,1.45963190602089,-.223631328871551,1.03759324950947,1,164
俊秀,1.06769070215268,.0472153434581486,.190230784888969,1,166
廉洁,1.12981428786884,.070660595413203,.0545681911961225,1,172
留恋,1.25491943626312,-.223631328871551,1.03523661715677,1,174
前进,1.29609065923116,-.0581160002518481,1.0540896759784,1,183
清秀,.984825854753878,-.264606507544074,.547649541348969,1,187
热切,.975507316896455,.659136419485066,.792885768409117,1,189
如愿,1.62889137822285,.0277843601710361,.592189734848344,1,193
生动,.930417617586344,.29807953937723,.341546754777145,1,195
圣洁,1.16388206068092,-.194270751678911,-.74897178683074,1,196
舒畅,1.02861296275059,-.358387515364291,.367635715102692,1,198
爽朗,1.03763090261261,.0847277465862347,.965072906557729,1,200
顽强,1.01458505629855,.0190810411120837,.936375050199628,1,207
旺盛,1.12179834132482,.176164229210947,.555476229446634,1,208
鲜艳,1.04264086920262,.199609481166002,.905068297808969,1,211
羡慕,1.07765444848404,.115779851335941,1.18134782302444,1,212
享受,1.26406859692268,-.240392374807723,.846706028940419,1,214
雄厚,.934425590858354,.213676632339034,-.874198796393368,1,218
秀丽,1.15887209409091,-.0412811790007703,.946810634329846,1,220
永恒,1.15185814086489,.234777359098583,.48764493260021,1,225
优雅,1.23301959962309,-.198959802069922,.0206525427729105,1,228
有利,.983523263440475,.295735014181724,.325893378581816,1,229
赞成,1.14970408867812,-.278104728164111,1.23083710243123,1,231
珍藏,1.41159881255817,-.0245939083795028,-.00875151509127668,1,236
振作,1.46306284126823,-.322102473746563,.898551940699916,1,238
正直,1.04765083579263,-.229438629611493,.876370441450868,1,242
卓越,.990537216666492,.609901390379452,.046741503098458,1,245
